provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
asociada a spp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asociada con,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asociadas,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asociado a,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asociado,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asociados,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asociadp con,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asociated plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asociated species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asociate include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asociates,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asociates include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asociating species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asociation,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asocidas,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asoc. sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asoc. sp. include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asoociates,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asooc. plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asooc. spp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asosiación de,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assciated plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assciated species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assciations,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
ass. cirsieto-molinietum accomp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asscociates include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asscociate trees,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
assco,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asscoiated,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asscoiated species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
